# Query Group 1 Filters: tissues: musculature | cellTypes: muscle cell, muscle precursor cell, cell of skeletal muscle, skeletal muscle satellite stem cell, skeletal muscle satellite cell, skeletal muscle fiber, myotube
# Query Group 2 Filters: tissues: skin of body | cellTypes: fibroblast, skin fibroblast
Gene,Log Fold Change,Effect Size,Adjusted P-Value
RP11-881M11.8,0.000,0.020,4.460e-11
AC005034.2,0.000,0.020,4.597e-11
OR11A1,0.000,0.020,4.579e-11
RP11-171L9.1,0.000,0.020,4.609e-11
RP1-4G17.5,0.000,0.020,4.607e-11
CLRN2,0.000,0.020,4.632e-11
RP11-42I10.1,0.001,0.020,4.500e-11
RP11-481J2.3,0.000,0.020,4.691e-11
RP11-346J10.1,0.000,0.020,4.727e-11
PDCD6IP-DT,0.000,0.020,4.700e-11
RP11-496N12.9,0.000,0.020,4.762e-11
RP11-1223D19.1,0.000,0.020,4.870e-11
AC002398.11,0.001,0.020,4.795e-11
LUARIS,0.000,0.020,4.907e-11
SI,0.000,0.020,4.982e-11
SLC4A9,0.001,0.019,5.059e-11
HTR3B,0.000,0.019,5.227e-11
TSPAN18-AS1,0.000,0.019,5.246e-11
MREG,0.002,0.019,5.016e-11
AC008746.12,0.001,0.019,5.158e-11
NUSAP1,0.007,0.019,5.051e-11
ZBED9,0.001,0.019,5.279e-11
LINC01352,0.001,0.019,5.392e-11
DDX25,0.001,0.019,5.677e-11
CTD-2313J23.1,0.000,0.019,5.895e-11
RP5-1006K12.1,0.000,0.019,5.967e-11
ESRP2,0.001,0.019,5.911e-11
JAKMIP2,0.001,0.019,5.883e-11
CRIP3,0.001,0.019,6.006e-11
MAN1C1,0.004,0.019,5.864e-11
RPL10P3,0.000,0.019,6.226e-11
LINC01425,0.000,0.019,6.253e-11
RP11-257P3.3,0.000,0.019,6.305e-11
CLEC9A,0.001,0.019,6.157e-11
LIVAR,0.001,0.019,6.191e-11
RP11-182J23.1,0.001,0.019,6.247e-11
COPG2IT1,0.000,0.019,6.430e-11
RP11-20D14.3,0.000,0.019,6.635e-11
RP11-484M3.5,0.000,0.019,6.637e-11
RP11-335O4.3,0.001,0.019,6.443e-11
RP11-473J6.1,0.000,0.019,6.753e-11
CTC-329D1.3,0.000,0.019,6.755e-11
AC007050.17,0.000,0.019,6.893e-11
SNORD114-3,0.001,0.019,6.958e-11
TMEM254,0.004,0.019,6.723e-11
ANO1,0.003,0.019,6.769e-11
LINC01685,0.001,0.019,7.060e-11
RP11-14O19.2,0.000,0.019,7.245e-11
RP11-344B2.2,0.000,0.019,7.282e-11
RP11-278C7.4,0.001,0.019,7.087e-11
DNAJC5B,0.001,0.019,7.162e-11
CASC20,0.000,0.019,7.410e-11
AP002856.5,0.000,0.019,7.484e-11
RP11-439A17.10,0.001,0.019,7.403e-11
RP11-945A11.2,0.000,0.019,7.552e-11
RP5-1139I1.1,0.000,0.019,7.633e-11
LINC00558,0.000,0.019,7.774e-11
AC079584.2,0.000,0.019,7.774e-11
LINC02045,0.000,0.019,8.301e-11
C16orf78,0.000,0.019,8.236e-11
FAM230F,0.000,0.019,8.521e-11
ACE2,0.001,0.019,8.355e-11
RP5-823G15.5,0.001,0.019,8.565e-11
POM121L2,0.000,0.019,8.903e-11
NUP62CL,0.001,0.019,8.688e-11
ZNF511-PRAP1,0.000,0.019,9.022e-11
RP11-386I14.4,0.002,0.019,8.620e-11
LINC01823,0.001,0.019,9.038e-11
FUT1,0.001,0.019,9.194e-11
RP11-554D14.6,0.000,0.019,9.481e-11
RP11-468E2.5,0.001,0.019,9.220e-11
AP000223.42,0.000,0.019,9.556e-11
KNSTRN,0.003,0.019,9.246e-11
LINC02373,0.000,0.019,9.627e-11
SLC13A2,0.000,0.019,9.633e-11
CSRP2,0.010,0.019,9.419e-11
RP11-755F10.3,0.001,0.019,9.700e-11
RP11-234K19.1,0.001,0.019,9.899e-11
LINC01195,0.000,0.019,1.018e-10
RP13-20L14.1,0.001,0.019,1.010e-10
TPRXL,0.001,0.019,1.020e-10
USH1C,0.000,0.019,1.080e-10
RP11-448G4.4,0.000,0.019,1.102e-10
CFAP298-TCP10L,0.000,0.019,1.095e-10
CTC-543D15.3,0.000,0.019,1.118e-10
KLHDC9,0.002,0.019,1.066e-10
RIMS4,0.001,0.019,1.105e-10
AC016738.4,0.001,0.019,1.108e-10
GC,0.000,0.019,1.160e-10
STPG3-AS1,0.001,0.019,1.157e-10
LINC01215,0.000,0.019,1.191e-10
CYP2C9,0.000,0.019,1.218e-10
LINC01780,0.000,0.019,1.217e-10
RP11-406H4.1,0.000,0.019,1.239e-10
ADGRL4,0.002,0.019,1.184e-10
LINC01350,0.000,0.019,1.240e-10
LINC00903,0.000,0.019,1.257e-10
RP3-332B22.1,0.001,0.019,1.252e-10
NARF-AS2,0.000,0.019,1.256e-10
RP11-787I22.3,0.000,0.019,1.259e-10
RP11-265O12.1,0.000,0.019,1.284e-10
ZNF697,0.002,0.019,1.267e-10
AC009262.2,0.000,0.019,1.333e-10
CRIPT,0.006,0.019,1.266e-10
RP11-804F13.1,0.000,0.019,1.320e-10
RP11-83B20.1,0.001,0.019,1.304e-10
RP11-167P22.3,0.000,0.019,1.394e-10
ANO7,0.001,0.019,1.382e-10
MLEC,0.009,0.019,1.398e-10
RP11-875O11.2,0.000,0.019,1.487e-10
RP11-26L20.3,0.001,0.019,1.462e-10
RP11-406D1.2,0.000,0.019,1.506e-10
DOK6,0.003,0.019,1.438e-10
SLC15A1,0.001,0.019,1.453e-10
RP11-293M10.6,0.000,0.019,1.538e-10
AC000370.2,0.000,0.019,1.573e-10
CTD-2311B13.1,0.000,0.019,1.563e-10
RP11-18B16.2,0.001,0.019,1.569e-10
BTG4,0.000,0.019,1.615e-10
MRGPRX4,0.000,0.019,1.641e-10
AC138969.4,0.001,0.019,1.587e-10
RP11-417L19.2,0.001,0.019,1.627e-10
TCHH,0.001,0.019,1.598e-10
RP11-104H15.8,0.000,0.019,1.661e-10
RP11-395F4.1,0.000,0.019,1.675e-10
DPY19L3-DT,0.001,0.019,1.643e-10
RP11-1376P16.1,0.000,0.019,1.711e-10
RP11-611O2.5,0.001,0.019,1.692e-10
KIF3C,0.002,0.019,1.650e-10
LINC02139,0.000,0.019,1.704e-10
CTD-2533K21.4,0.000,0.019,1.741e-10
PRDM16-DT,0.001,0.019,1.698e-10
RP5-1029F21.2,0.000,0.019,1.742e-10
RP11-171N4.4,0.000,0.019,1.751e-10
ZNF688,0.004,0.019,1.662e-10
KB-1410C5.3,0.000,0.019,1.755e-10
RP11-486P11.1,0.000,0.019,1.768e-10
AP000708.1,0.001,0.019,1.747e-10
RP11-669M16.2,0.000,0.019,1.798e-10
AC012668.1,0.000,0.019,1.805e-10
DPH3,0.005,0.019,1.737e-10
RP11-536C5.2,0.000,0.019,1.835e-10
ZNF214,0.001,0.019,1.780e-10
DYDC2,0.001,0.019,1.832e-10
RP11-96D24.1,0.000,0.019,1.887e-10
RP11-128P17.2,0.001,0.019,1.882e-10
LINC00508,0.000,0.019,1.926e-10
CTD-2350C19.2,0.000,0.019,1.894e-10
NUTM2F,0.000,0.019,1.988e-10
TET1,0.005,0.019,1.897e-10
RP1-37E16.12,0.001,0.019,1.956e-10
PATL2,0.001,0.019,1.984e-10
CROCCP3,0.001,0.019,2.002e-10
VPS9D1-AS1,0.001,0.019,2.000e-10
AP000302.58,0.000,0.019,2.045e-10
ZNF792,0.001,0.019,1.997e-10
CH507-338C24.1,0.001,0.019,2.080e-10
KRT24,0.000,0.019,2.158e-10
LINC02315,0.000,0.019,2.156e-10
CASP10,0.002,0.019,2.088e-10
RP11-310H4.1,0.000,0.019,2.207e-10
NUDT4B,0.001,0.019,2.138e-10
LINC00305,0.000,0.019,2.226e-10
DIAPH3-AS2,0.000,0.019,2.245e-10
RP11-57C13.3,0.000,0.019,2.264e-10
LRRC37A4P,0.000,0.019,2.310e-10
ZNF479,0.000,0.019,2.296e-10
KCNRG,0.001,0.019,2.255e-10
GIMAP7,0.002,0.019,2.230e-10
CTD-3065J16.9,0.001,0.019,2.284e-10
PKD2,0.006,0.019,2.259e-10
ARPIN,0.003,0.019,2.269e-10
A2ML1,0.001,0.019,2.303e-10
RP11-521C20.2,0.000,0.019,2.400e-10
MIS18A,0.003,0.019,2.288e-10
B3GALT2,0.001,0.019,2.320e-10
AC018731.3,0.000,0.019,2.425e-10
ENSG00000289950,0.000,0.019,2.457e-10
RP11-505E24.3,0.000,0.019,2.464e-10
AP000350.7,0.000,0.019,2.479e-10
USE1,0.005,0.019,2.365e-10
RP11-29B9.1,0.000,0.019,2.491e-10
ITPRIPL2,0.005,0.019,2.439e-10
RP1-151F17.2,0.001,0.019,2.506e-10
CTD-2587H19.3,0.000,0.019,2.578e-10
RP1-50O24.6,0.000,0.019,2.602e-10
RP11-798K3.4,0.001,0.019,2.560e-10
SIRLNT,0.000,0.019,2.651e-10
MAPK1IP1L,0.008,0.019,2.519e-10
LINC02148,0.000,0.019,2.685e-10
CLRN3,0.000,0.019,2.752e-10
RP11-67A1.2,0.000,0.019,2.821e-10
SEC31A,0.013,0.019,2.681e-10
RP11-552I14.1,0.000,0.019,2.852e-10
RP11-10A14.6,0.000,0.019,2.946e-10
PRRT3,0.002,0.019,2.887e-10
ART4,0.001,0.019,2.928e-10
AC013269.4,0.000,0.019,3.041e-10
RP11-421E14.2,0.000,0.019,3.057e-10
RP11-327L9.1,0.000,0.019,3.082e-10
RP11-680F20.9,0.000,0.019,3.064e-10
RP11-543B16.5,0.000,0.019,3.125e-10
DENND6A-DT,0.000,0.019,3.101e-10
ACTL8,0.000,0.019,3.141e-10
FOXG1-AS1,0.000,0.019,3.173e-10
MBLAC1,0.001,0.019,3.052e-10
RP11-94M14.2,0.000,0.019,3.201e-10
RP11-165C17.1,0.000,0.019,3.224e-10
RP1-4G17.2,0.000,0.019,3.245e-10
RPL32P13,0.000,0.019,3.258e-10
RP11-532F6.5,0.000,0.019,3.259e-10
EGILA,0.000,0.019,3.280e-10
RP11-433J20.2,0.000,0.019,3.304e-10
AC010880.1,0.000,0.019,3.317e-10
TRAIP,0.002,0.019,3.268e-10
LINC01674,0.000,0.019,3.447e-10
RP11-790J24.1,0.000,0.019,3.506e-10
RP11-230C9.2,0.000,0.019,3.498e-10
RP11-87E22.2,0.000,0.019,3.509e-10
BRI3,0.012,0.019,3.406e-10
LINC02054,0.001,0.019,3.507e-10
RP11-687M24.8,0.001,0.019,3.552e-10
INS,0.000,0.019,3.685e-10
SRCIN1,0.001,0.019,3.606e-10
HEY1,0.005,0.019,3.580e-10
EHHADH-AS1,0.000,0.019,3.778e-10
IGSF11-AS1,0.000,0.019,3.823e-10
LINC01387,0.000,0.019,3.833e-10
LINC01186,0.000,0.019,3.844e-10
PGAM1P5,0.000,0.019,3.932e-10
RP5-1103G7.10,0.000,0.019,3.898e-10
AC016629.3,0.000,0.019,3.925e-10
TSPAN19,0.001,0.019,3.832e-10
CR2,0.000,0.019,3.911e-10
AC092155.4,0.001,0.019,3.928e-10
RP3-522J7.6,0.001,0.019,3.979e-10
HPGDS,0.002,0.019,3.899e-10
KCNN1,0.001,0.019,3.932e-10
GSDMD,0.003,0.019,3.941e-10
CTD-2619J13.17,0.000,0.019,4.081e-10
KIF24,0.002,0.019,3.979e-10
RP1-79C4.1,0.000,0.019,4.126e-10
DYDC1,0.001,0.019,4.063e-10
LINC01846,0.000,0.019,4.193e-10
RP1-102E24.10,0.000,0.019,4.249e-10
RP11-297K8.2,0.001,0.019,4.242e-10
LYPD8,0.001,0.019,4.378e-10
C5orf34,0.002,0.019,4.316e-10
NLRC5,0.002,0.019,4.301e-10
C5orf52,0.000,0.019,4.525e-10
RP11-817O13.9,0.001,0.019,4.419e-10
RP11-397G17.1,0.000,0.019,4.625e-10
SMIM10L2B-AS1,0.000,0.019,4.588e-10
RP11-34D15.2,0.000,0.019,4.675e-10
ADGRF4,0.001,0.019,4.537e-10
MAP7,0.002,0.019,4.525e-10
RP11-279O17.3,0.000,0.019,4.806e-10
HDAC1,0.005,0.019,4.572e-10
BLACE,0.001,0.019,4.657e-10
BFSP2-AS1,0.000,0.019,4.754e-10
GIMAP6,0.001,0.019,4.658e-10
HTR6,0.000,0.018,4.837e-10
EHMT2-AS1,0.000,0.018,4.843e-10
ZNF735,0.000,0.018,4.969e-10
CTC-429P9.3,0.000,0.018,5.022e-10
KRT40,0.000,0.018,5.078e-10
AC098828.2,0.000,0.018,5.054e-10
CTD-2009A10.1,0.000,0.018,5.167e-10
RP11-358M3.1,0.000,0.018,5.205e-10
GLT6D1,0.000,0.018,5.212e-10
NEK3,0.003,0.018,5.011e-10
RP11-328J6.1,0.000,0.018,5.263e-10
RP11-255C15.3,0.001,0.018,5.156e-10
RP11-77K12.8,0.000,0.018,5.272e-10
CENPBD1P1,0.000,0.018,5.273e-10
TM4SF5,0.000,0.018,5.342e-10
RP11-20I23.8,0.000,0.018,5.300e-10
RP11-162D9.3,0.000,0.018,5.440e-10
LIPI,0.001,0.018,5.323e-10
CTD-2554C21.2,0.000,0.018,5.414e-10
LRP5L,0.002,0.018,5.265e-10
EQTN,0.001,0.018,5.465e-10
CIBAR2,0.001,0.018,5.593e-10
RP11-359G22.4,0.000,0.018,5.710e-10
RP11-445N18.7,0.001,0.018,5.915e-10
LINC01283,0.000,0.018,5.910e-10
PPP1R26,0.001,0.018,5.857e-10
RP11-961A15.1,0.000,0.018,6.413e-10
ADGRA1,0.000,0.018,6.499e-10
ENSG00000289171,0.000,0.018,6.563e-10
CTC-273B12.5,0.000,0.018,6.624e-10
RP11-474G23.2,0.000,0.018,6.571e-10
RP11-105N14.2,0.000,0.018,6.657e-10
AC025263.3,0.000,0.018,6.834e-10
CTD-3064M3.3,0.000,0.018,6.839e-10
RP11-281N10.1,0.000,0.018,6.835e-10
SEC14L3,0.000,0.018,6.983e-10
RP11-94H18.1,0.000,0.018,7.050e-10
RP11-443N24.2,0.000,0.018,7.117e-10
KCNJ14,0.002,0.018,7.012e-10
LINC00158,0.001,0.018,7.084e-10
LINC01393,0.000,0.018,7.240e-10
TP53TG3C,0.000,0.018,7.404e-10
YTHDF3-DT,0.001,0.018,7.212e-10
RP1-37N7.1,0.000,0.018,7.575e-10
DDC,0.000,0.018,7.595e-10
PRICKLE2-AS2,0.000,0.018,7.718e-10
CTD-2207P18.1,0.001,0.018,7.528e-10
RP11-426L16.10,0.000,0.018,7.775e-10
SPTLC3,0.002,0.018,7.504e-10
RELN,0.002,0.018,7.500e-10
RP11-90D4.3,0.001,0.018,7.721e-10
LINC01229,0.001,0.018,7.784e-10
RP11-88H10.2,0.000,0.018,8.085e-10
RP4-806M20.4,0.001,0.018,7.884e-10
RPS3AP47,0.000,0.018,8.262e-10
RFPL2,0.000,0.018,8.271e-10
MEFV,0.000,0.018,8.309e-10
CTRL,0.001,0.018,8.176e-10
TGIF2-RAB5IF,0.001,0.018,8.249e-10
RP11-379C10.1,0.000,0.018,8.470e-10
LINC00626,0.000,0.018,8.525e-10
RP11-458K10.1,0.000,0.018,8.732e-10
NKILA,0.001,0.018,8.422e-10
CTD-3012A18.1,0.000,0.018,8.726e-10
LINC01592,0.001,0.018,8.487e-10
NKG7,0.002,0.018,8.470e-10
RP11-692P14.1,0.000,0.018,8.820e-10
RP11-555J4.4,0.000,0.018,8.877e-10
CPAMD8,0.002,0.018,8.557e-10
AC008067.2,0.000,0.018,9.157e-10
CLRN1,0.000,0.018,9.127e-10
OLIG2,0.000,0.018,9.296e-10
RP1-127D3.4,0.000,0.018,9.281e-10
RORA-AS2,0.000,0.018,9.276e-10
RP11-316M21.6,0.001,0.018,9.216e-10
AP000320.7,0.000,0.018,9.457e-10
GABARAPL1-AS1,0.000,0.018,9.497e-10
TRPV4,0.001,0.018,9.481e-10
PATE2,0.000,0.018,9.765e-10
CTD-2561J22.5,0.000,0.018,9.924e-10
SURF2,0.002,0.018,9.521e-10
CIB4,0.000,0.018,9.891e-10
AP001437.1,0.001,0.018,9.640e-10
UBL7,0.003,0.018,9.609e-10
LINC02128,0.000,0.018,1.021e-9
RP6-109B7.4,0.000,0.018,1.022e-9
RP11-315O6.2,0.000,0.018,1.050e-9
COL23A1,0.006,0.018,1.039e-9
RP4-794I6.4,0.000,0.018,1.087e-9
AC104304.4,0.000,0.018,1.073e-9
LINC01179,0.000,0.018,1.093e-9
CSRNP3,0.003,0.018,1.067e-9
TMEM108-AS1,0.000,0.018,1.110e-9
LINC02740,0.000,0.018,1.117e-9
CTC-512J12.6,0.000,0.018,1.120e-9
CTB-113P19.3,0.000,0.018,1.101e-9
RP11-474D1.1,0.000,0.018,1.120e-9
CRISP1,0.000,0.018,1.138e-9
LINC01449,0.001,0.018,1.150e-9
AC079250.1,0.000,0.018,1.178e-9
RP11-66B24.1,0.001,0.018,1.167e-9
GABRB2,0.002,0.018,1.134e-9
ZNF772,0.004,0.018,1.132e-9
AC006960.7,0.000,0.018,1.189e-9
CTC-453G23.8,0.001,0.018,1.163e-9
C2orf78,0.000,0.018,1.220e-9
ACTL7A,0.000,0.018,1.252e-9
ALKBH2,0.005,0.018,1.198e-9
NMBR,0.000,0.018,1.248e-9
MBL1P,0.000,0.018,1.262e-9
LSM8,0.008,0.018,1.211e-9
AC004691.5,0.000,0.018,1.289e-9
RP5-1110E20.1,0.000,0.018,1.316e-9
CTD-2116N17.1,0.001,0.018,1.287e-9
TBCEL-TECTA,0.000,0.018,1.312e-9
AC137932.6,0.000,0.018,1.333e-9
RP11-47A8.5,0.001,0.018,1.284e-9
RP11-616M22.7,0.000,0.018,1.340e-9
RP5-874C20.8,0.001,0.018,1.333e-9
RP11-234K24.3,0.000,0.018,1.352e-9
TTLL10,0.001,0.018,1.365e-9
KCNK9,0.001,0.018,1.359e-9
ERCC6L,0.001,0.018,1.390e-9
RP11-69H14.6,0.000,0.018,1.445e-9
ENOX1-AS1,0.000,0.018,1.462e-9
RP11-108M12.3,0.001,0.018,1.461e-9
TPRA1,0.005,0.018,1.441e-9
RP11-1099M24.6,0.000,0.018,1.503e-9
AP000959.2,0.000,0.018,1.533e-9
RP1-149A16.17,0.000,0.018,1.576e-9
SEPTIN14P21,0.000,0.018,1.577e-9
SPACA1,0.000,0.018,1.583e-9
GATA4,0.000,0.018,1.568e-9
MAL2-AS1,0.000,0.018,1.605e-9
UGT2B11,0.000,0.018,1.620e-9
AC005772.2,0.000,0.018,1.644e-9
LUNAR1,0.000,0.018,1.659e-9
RP11-621L6.2,0.000,0.018,1.657e-9
LINC02455,0.000,0.018,1.732e-9
LRRC77P,0.001,0.018,1.729e-9
CTD-2311M21.3,0.000,0.018,1.740e-9
LINC02777,0.001,0.018,1.713e-9
RP11-388M20.6,0.000,0.018,1.760e-9
RP11-86A5.1,0.000,0.018,1.792e-9
AC142391.3,0.000,0.018,1.792e-9
LINC02017,0.000,0.018,1.811e-9
RP11-1275H24.1,0.001,0.018,1.757e-9
RP11-84C10.4,0.001,0.018,1.777e-9
RP11-275D4.1,0.000,0.018,1.824e-9
TLR8-AS1,0.000,0.018,1.835e-9
ZNF571-AS1,0.001,0.018,1.775e-9
NAV3,0.006,0.018,1.760e-9
RP11-338E21.1,0.000,0.018,1.845e-9
H1-10-AS1,0.001,0.018,1.820e-9
RP11-379K22.2,0.000,0.018,1.875e-9
RP5-1198O20.4,0.001,0.018,1.849e-9
FAM230H,0.000,0.018,1.932e-9
CTC-471J1.2,0.000,0.018,1.983e-9
RP11-798L4.1,0.001,0.018,1.978e-9
TIPARP-AS1,0.001,0.018,1.960e-9
AP000472.3,0.000,0.018,2.065e-9
CAPN13,0.000,0.018,2.065e-9
ZNF84-DT,0.000,0.018,2.081e-9
LINC02540,0.000,0.018,2.161e-9
AC004967.7,0.000,0.018,2.192e-9
TMEM128,0.005,0.018,2.092e-9
PPEF1,0.002,0.018,2.122e-9
RP11-28G8.1,0.000,0.018,2.187e-9
CTD-2547G23.2,0.000,0.018,2.218e-9
LINC01594,0.000,0.018,2.215e-9
RP11-203H2.1,0.000,0.018,2.270e-9
CCDC105,0.000,0.018,2.285e-9
RP11-427M20.1,0.001,0.018,2.246e-9
MBD3L1,0.000,0.018,2.317e-9
RP11-554K11.2,0.000,0.018,2.327e-9
AC008278.3,0.000,0.018,2.358e-9
RP1-100J12.1,0.001,0.018,2.349e-9
AC016903.2,0.000,0.018,2.416e-9
AL133247.2,0.000,0.018,2.430e-9
CTB-180A7.8,0.000,0.018,2.429e-9
LINC00629,0.001,0.018,2.409e-9
SUSD1,0.002,0.018,2.394e-9
RP11-240L7.5,0.000,0.018,2.483e-9
TRPC5OS,0.000,0.018,2.509e-9
SPINT4,0.000,0.018,2.510e-9
MAGEB17,0.000,0.018,2.543e-9
ASXL3-DT,0.000,0.018,2.579e-9
LDLRAD1,0.000,0.018,2.572e-9
CCDC195,0.000,0.018,2.566e-9
ZNF649-AS1,0.000,0.018,2.548e-9
RP11-70D24.3,0.000,0.018,2.545e-9
C1orf162,0.004,0.018,2.485e-9
RP11-588G21.2,0.001,0.018,2.625e-9
RP3-333B15.4,0.000,0.018,2.703e-9
RP11-358B23.5,0.000,0.018,2.678e-9
ANKRD20A1,0.001,0.018,2.738e-9
SNORD114-11,0.000,0.018,2.827e-9
XXbac-BPG254B15.11,0.000,0.018,2.796e-9
LRRC63,0.001,0.018,2.794e-9
PAQR6,0.001,0.018,2.788e-9
ODC1,0.008,0.018,2.830e-9
POU2AF1,0.001,0.018,2.967e-9
RP11-862P13.1,0.000,0.018,3.094e-9
RP11-288I21.1,0.001,0.018,3.008e-9
CCL25,0.001,0.018,3.124e-9
PLCL2-AS1,0.000,0.018,3.176e-9
TMEM61,0.000,0.018,3.129e-9
AC104777.1,0.000,0.018,3.206e-9
RP11-354P11.4,0.000,0.018,3.206e-9
YEATS2-AS1,0.001,0.018,3.119e-9
NAV2-AS2,0.001,0.018,3.261e-9
LINC02495,0.000,0.018,3.414e-9
SNRK-AS1,0.001,0.018,3.417e-9
CYP2A13,0.000,0.018,3.515e-9
TERC,0.001,0.018,3.486e-9
NCKAP5-AS1,0.000,0.018,3.562e-9
UBE2L3,0.008,0.018,3.462e-9
RP11-46C24.7,0.001,0.018,3.509e-9
SELL,0.001,0.018,3.520e-9
RP11-351A20.1,0.000,0.018,3.630e-9
NRG1-IT1,0.000,0.018,3.744e-9
FHDC1,0.002,0.018,3.608e-9
RP11-91I20.1,0.000,0.018,3.774e-9
AC008073.7,0.000,0.018,3.800e-9
RP11-26J3.4,0.000,0.018,3.831e-9
LINC01980,0.001,0.018,3.771e-9
RP11-522B15.3,0.001,0.018,3.774e-9
SLC13A1,0.000,0.018,3.876e-9
LINC02352,0.001,0.018,3.826e-9
XXbac-BPG258E24.10,0.000,0.018,3.960e-9
AC023469.2,0.000,0.018,4.062e-9
RP11-63G10.2,0.000,0.018,4.051e-9
LINC01733,0.000,0.018,4.113e-9
RP11-638I2.6,0.000,0.017,4.077e-9
PRH2,0.000,0.017,4.089e-9
ENSG00000289083,0.000,0.017,4.178e-9
CPA1,0.001,0.017,4.091e-9
UNCX,0.000,0.017,4.275e-9
RP5-1056L3.3,0.000,0.017,4.276e-9
GPRIN1,0.000,0.017,4.252e-9
MED4-AS1,0.001,0.017,4.246e-9
MRAP2,0.002,0.017,4.211e-9
RP5-933B4.1,0.000,0.017,4.388e-9
CTD-2176I21.2,0.000,0.017,4.482e-9
RP11-29G8.3,0.000,0.017,4.508e-9
CTD-2583A14.11,0.000,0.017,4.623e-9
CTD-3037G24.4,0.000,0.017,4.679e-9
RP11-471B22.3,0.000,0.017,4.668e-9
AC021188.4,0.000,0.017,4.703e-9
AC073635.5,0.000,0.017,4.706e-9
RP11-893F2.13,0.001,0.017,4.741e-9
LINC01942,0.000,0.017,4.939e-9
OVOL3,0.000,0.017,4.944e-9
RP11-295D22.1,0.000,0.017,5.013e-9
RP11-7O11.9,0.002,0.017,4.908e-9
LINC01567,0.000,0.017,5.237e-9
TBC1D3C,0.000,0.017,5.337e-9
RP11-214O1.3,0.001,0.017,5.201e-9
RP11-203J24.8,0.000,0.017,5.425e-9
RP11-229P13.27,0.000,0.017,5.554e-9
RP11-820I16.4,0.001,0.017,5.569e-9
GPR12,0.001,0.017,5.586e-9
RP4-604G5.1,0.000,0.017,5.734e-9
LINC02634,0.000,0.017,5.765e-9
AC142293.3,0.000,0.017,5.892e-9
RP1-278E11.3,0.000,0.017,6.024e-9
CTD-2547L16.1,0.001,0.017,5.863e-9
TM4SF4,0.000,0.017,5.963e-9
LINC01581,0.000,0.017,6.017e-9
LINC02422,0.000,0.017,6.253e-9
TCL1B,0.001,0.017,6.163e-9
CHIA,0.000,0.017,6.417e-9
DNAAF3,0.001,0.017,6.210e-9
RP1-272L16.1,0.000,0.017,6.485e-9
CTD-3222D19.11,0.000,0.017,6.541e-9
AC009518.4,0.000,0.017,6.737e-9
RP11-17G12.2,0.000,0.017,6.778e-9
RP11-849N15.1,0.000,0.017,6.998e-9
RP11-574K11.5,0.000,0.017,7.048e-9
RP11-116O11.1,0.000,0.017,6.967e-9
CTB-147N14.6,0.001,0.017,7.059e-9
TNR,0.001,0.017,7.210e-9
RP11-202I11.2,0.000,0.017,7.529e-9
CTC-360G5.6,0.000,0.017,7.557e-9
LINC01664,0.000,0.017,7.445e-9
RP11-17E13.2,0.000,0.017,7.505e-9
SULT1A4,0.000,0.017,7.621e-9
KCNJ16,0.001,0.017,7.652e-9
RP3-466P17.1,0.000,0.017,7.738e-9
RP11-77K12.9,0.001,0.017,7.713e-9
TBC1D3E,0.000,0.017,7.862e-9
SLC12A5-AS1,0.000,0.017,7.854e-9
RP11-472K22.1,0.000,0.017,7.968e-9
ERICH3-AS1,0.000,0.017,8.066e-9
RP11-13K12.1,0.000,0.017,8.077e-9
LINC00659,0.000,0.017,8.217e-9
AC092162.1,0.001,0.017,8.302e-9
RP11-1057B8.2,0.000,0.017,8.472e-9
RP11-863H1.1,0.000,0.017,8.665e-9
SOHLH2,0.001,0.017,8.481e-9
RP13-580F15.2,0.001,0.017,8.440e-9
RP11-146N23.1,0.000,0.017,8.804e-9
AP001372.2,0.001,0.017,8.643e-9
CSE1L-AS1,0.000,0.017,8.754e-9
AC108066.1,0.000,0.017,8.919e-9
RP5-994D16.12,0.001,0.017,8.706e-9
OR8A1,0.000,0.017,8.914e-9
RP4-798A10.4,0.001,0.017,8.759e-9
RP11-529H2.2,0.000,0.017,9.005e-9
RP11-180C16.1,0.001,0.017,8.841e-9
AC092675.3,0.000,0.017,9.175e-9
IGBP1-AS2,0.000,0.017,9.133e-9
PLD2,0.003,0.017,8.914e-9
LINC01913,0.000,0.017,9.225e-9
RP11-989E6.10,0.000,0.017,9.245e-9
LINC02026,0.000,0.017,9.246e-9
LINC00613,0.000,0.017,9.407e-9
SGTB,0.003,0.017,9.056e-9
LINC01893,0.000,0.017,9.561e-9
PRAP1,0.001,0.017,9.369e-9
PKD1P6,0.000,0.017,9.580e-9
LINC02052,0.000,0.017,9.945e-9
RP11-370I10.10,0.000,0.017,1.001e-8
CTD-2139B15.5,0.000,0.017,1.003e-8
RP11-1151B14.1,0.000,0.017,1.005e-8
RP11-536C10.4,0.000,0.017,1.008e-8
CTB-49A3.2,0.000,0.017,1.009e-8
RP11-769O8.2,0.001,0.017,1.004e-8
RP11-77E14.2,0.000,0.017,1.023e-8
TM4SF18,0.001,0.017,9.994e-9
RP1-170O19.22,0.000,0.017,1.039e-8
RP11-550I24.2,0.000,0.017,1.031e-8
TGFBR1,0.005,0.017,1.006e-8
LINC02221,0.000,0.017,1.057e-8
TEX261,0.004,0.017,1.015e-8
M1AP,0.001,0.017,1.042e-8
PAG1,0.004,0.017,1.054e-8
AC000124.1,0.000,0.017,1.103e-8
